speciesCode,commonName,order,scientificName,COSEWIC,Cavity_Birds,Waterfowl,Marine_Birds,Shorebirds,Wetland_Birds,Birds_of_Prey,Forest_Birds,Grassland_Birds,Aerial_Insectivores,Arctic_Birds,Long_Distance_Migrants
ALFL,Alder Flycatcher,Passeriformes,Empidonax alnorum,0,0,0,0,0,1,0,0,0,1,0,1
AMCR,American Crow,Passeriformes,Corvus brachyrhynchos,0,0,0,0,0,0,0,0,0,0,0,1
AMGO,American Goldfinch,Passeriformes,Spinus tristis,0,0,0,0,0,0,0,0,0,0,0,1
AMPI,American Pipit,Passeriformes,Anthus rubescens,0,0,0,0,0,0,0,0,0,0,0,1
AMRE,American Redstart,Passeriformes,Setophaga ruticilla,0,0,0,0,0,0,0,1,0,0,0,1
AMRO,American Robin,Passeriformes,Turdus migratorius,0,0,0,0,0,0,0,0,0,0,0,0
ATTW,American Three-toed Woodpecker,Piciformes,Picoides dorsalis,0,1,0,0,0,0,0,1,0,0,0,1
ATSP,American Tree Sparrow,Passeriformes,Spizelloides arborea,0,0,0,0,0,0,0,0,0,0,0,1
BAOR,Baltimore Oriole,Passeriformes,Icterus galbula,0,0,0,0,0,0,0,0,0,0,0,1
BANS,Bank Swallow,Passeriformes,Riparia riparia,1,0,0,0,0,0,0,0,0,1,0,1
BARS,Barn Swallow,Passeriformes,Hirundo rustica,1,0,0,0,0,0,0,0,0,1,0,1
BBWA,Bay-breasted Warbler,Passeriformes,Setophaga castanea,0,0,0,0,0,0,0,1,0,0,0,1
BEKI,Belted Kingfisher,Coraciiformes,Megaceryle alcyon,0,0,0,0,0,1,0,0,0,0,0,0
BAWW,Black-and-white Warbler,Passeriformes,Mniotilta varia,0,0,0,0,0,0,0,1,0,0,0,1
BBWO,Black-backed Woodpecker,Piciformes,Picoides arcticus,0,1,0,0,0,0,0,1,0,0,0,1
BBCU,Black-billed Cuckoo,Cuculiformes,Coccyzus erythropthalmus,0,0,0,0,0,0,0,0,0,0,0,1
BBMA,Black-billed Magpie,Passeriformes,Pica hudsonia,0,0,0,0,0,0,0,0,0,0,0,1
BCCH,Black-capped Chickadee,Passeriformes,Poecile atricapillus,0,1,0,0,0,0,0,1,0,0,0,1
BTBW,Black-throated Blue Warbler,Passeriformes,Setophaga caerulescens,0,0,0,0,0,0,0,1,0,0,0,1
BTNW,Black-throated Green Warbler,Passeriformes,Setophaga virens,0,0,0,0,0,0,0,1,0,0,0,1
BLBW,Blackburnian Warbler,Passeriformes,Setophaga fusca,0,0,0,0,0,0,0,1,0,0,0,1
BLPW,Blackpoll Warbler,Passeriformes,Setophaga striata,0,0,0,0,0,0,0,1,0,0,0,1
BLJA,Blue Jay,Passeriformes,Cyanocitta cristata,0,0,0,0,0,0,0,0,0,0,0,0
BGGN,Blue-gray Gnatcatcher,Passeriformes,Polioptila caerulea,0,0,0,0,0,0,0,0,0,0,0,0
BHVI,Blue-headed Vireo,Passeriformes,Vireo solitarius,0,0,0,0,0,0,0,1,0,0,0,0
BOBO,Bobolink,Passeriformes,Dolichonyx oryzivorus,1,0,0,0,0,0,0,0,1,0,0,1
BOWA,Bohemian Waxwing,Passeriformes,Bombycilla garrulus,0,0,0,0,0,0,0,1,0,0,0,1
BOCH,Boreal Chickadee,Passeriformes,Poecile hudsonicus,0,1,0,0,0,0,0,1,0,0,0,1
BRBL,Brewer's Blackbird,Passeriformes,Euphagus cyanocephalus,0,0,0,0,0,0,0,0,0,0,0,1
BRCR,Brown Creeper,Passeriformes,Certhia americana,0,1,0,0,0,0,0,1,0,0,0,0
BRTH,Brown Thrasher,Passeriformes,Toxostoma rufum,0,0,0,0,0,0,0,0,0,0,0,1
BHCO,Brown-headed Cowbird,Passeriformes,Molothrus ater,0,0,0,0,0,0,0,0,0,0,0,1
CAWA,Canada Warbler,Passeriformes,Cardellina canadensis,1,0,0,0,0,0,0,1,0,0,0,1
CMWA,Cape May Warbler,Passeriformes,Setophaga tigrina,0,0,0,0,0,0,0,1,0,0,0,1
CEDW,Cedar Waxwing,Passeriformes,Bombycilla cedrorum,0,0,0,0,0,0,0,0,0,0,0,1
CSWA,Chestnut-sided Warbler,Passeriformes,Setophaga pensylvanica,0,0,0,0,0,0,0,1,0,0,0,1
CHSP,Chipping Sparrow,Passeriformes,Spizella passerina,0,0,0,0,0,0,0,0,0,0,0,1
CCSP,Clay-colored Sparrow,Passeriformes,Spizella pallida,0,0,0,0,0,0,0,0,0,0,0,1
CLSW,Cliff Swallow,Passeriformes,Petrochelidon pyrrhonota,0,0,0,0,0,0,0,0,0,1,0,1
COGR,Common Grackle,Passeriformes,Quiscalus quiscula,0,0,0,0,0,0,0,0,0,0,0,1
CORA,Common Raven,Passeriformes,Corvus corax,0,0,0,0,0,0,0,0,0,0,0,1
COYE,Common Yellowthroat,Passeriformes,Geothlypis trichas,0,0,0,0,0,1,0,0,0,0,0,0
CONW,Connecticut Warbler,Passeriformes,Oporornis agilis,0,0,0,0,0,0,0,1,0,0,0,1
DEJU,Dark-eyed Junco,Passeriformes,Junco hyemalis,0,0,0,0,0,0,0,1,0,0,0,1
DOWO,Downy Woodpecker,Piciformes,Dryobates pubescens,0,1,0,0,0,0,0,1,0,0,0,1
DUFL,Dusky Flycatcher,Passeriformes,Empidonax oberholseri,0,0,0,0,0,0,0,1,0,1,0,0
EABL,Eastern Bluebird,Passeriformes,Sialia sialis,0,1,0,0,0,0,0,0,0,0,0,0
EAKI,Eastern Kingbird,Passeriformes,Tyrannus tyrannus,0,0,0,0,0,0,0,0,0,1,0,1
EAPH,Eastern Phoebe,Passeriformes,Sayornis phoebe,0,0,0,0,0,0,0,0,0,1,0,1
EATO,Eastern Towhee,Passeriformes,Pipilo erythrophthalmus,0,0,0,0,0,0,0,0,0,0,0,1
EAWP,Eastern Wood-Pewee,Passeriformes,Contopus virens,1,0,0,0,0,0,0,1,0,1,0,1
EUST,European Starling,Passeriformes,Sturnus vulgaris,0,1,0,0,0,0,0,0,0,0,0,0
EVGR,Evening Grosbeak,Passeriformes,Coccothraustes vespertinus,1,0,0,0,0,0,0,1,0,0,0,0
FISP,Field Sparrow,Passeriformes,Spizella pusilla,0,0,0,0,0,0,0,0,0,0,0,1
FOSP,Fox Sparrow,Passeriformes,Passerella iliaca,0,0,0,0,0,0,0,0,0,0,0,1
GCKI,Golden-crowned Kinglet,Passeriformes,Regulus satrapa,0,0,0,0,0,0,0,1,0,0,0,1
GCSP,Golden-crowned Sparrow,Passeriformes,Zonotrichia atricapilla,0,0,0,0,0,0,0,0,0,0,0,1
GWWA,Golden-winged Warbler,Passeriformes,Vermivora chrysoptera,1,0,0,0,0,0,0,0,0,0,0,1
GRSP,Grasshopper Sparrow,Passeriformes,Ammodramus savannarum,1,0,0,0,0,0,0,0,1,0,0,1
GRCA,Gray Catbird,Passeriformes,Dumetella carolinensis,0,0,0,0,0,0,0,0,0,0,0,1
GRAJ,Gray Jay,Passeriformes,Perisoreus canadensis,0,0,0,0,0,0,0,1,0,0,0,0
GCTH,Gray-cheeked Thrush,Passeriformes,Catharus minimus,1,0,0,0,0,0,0,1,0,0,0,1
GCFL,Great Crested Flycatcher,Passeriformes,Myiarchus crinitus,0,1,0,0,0,0,0,1,0,1,0,1
GRYE,Greater Yellowlegs,Charadriiformes,Tringa melanoleuca,0,0,0,0,1,0,0,0,0,0,0,0
HAWO,Hairy Woodpecker,Piciformes,Dryobates villosus,0,1,0,0,0,0,0,1,0,0,0,1
HAFL,Hammond's Flycatcher,Passeriformes,Empidonax hammondii,0,0,0,0,0,0,0,1,0,1,0,0
HETH,Hermit Thrush,Passeriformes,Catharus guttatus,0,0,0,0,0,0,0,1,0,0,0,1
HOLA,Horned Lark,Passeriformes,Eremophila alpestris,0,0,0,0,0,0,0,0,1,0,0,1
HOSP,House Sparrow,Passeriformes,Passer domesticus,0,1,0,0,0,0,0,0,0,0,0,0
HOWR,House Wren,Passeriformes,Troglodytes aedon,0,1,0,0,0,0,0,0,0,0,0,1
INBU,Indigo Bunting,Passeriformes,Passerina cyanea,0,0,0,0,0,0,0,0,0,0,0,1
KILL,Killdeer,Charadriiformes,Charadrius vociferus,0,0,0,0,1,0,0,0,0,0,0,1
LALO,Lapland Longspur,Passeriformes,Calcarius lapponicus,0,0,0,0,0,0,0,0,0,0,1,1
LEFL,Least Flycatcher,Passeriformes,Empidonax minimus,0,0,0,0,0,0,0,1,0,1,0,1
LCSP,LeConte's Sparrow,Passeriformes,Ammospiza leconteii,0,0,0,0,0,0,0,0,1,0,0,1
LEYE,Lesser Yellowlegs,Charadriiformes,Tringa flavipes,1,0,0,0,1,0,0,0,0,0,0,1
LISP,Lincoln's Sparrow,Passeriformes,Melospiza lincolnii,0,0,0,0,0,0,0,0,0,0,0,1
MAWA,Magnolia Warbler,Passeriformes,Setophaga magnolia,0,0,0,0,0,0,0,1,0,0,0,1
MAWR,Marsh Wren,Passeriformes,Cistothorus palustris,0,0,0,0,0,1,0,0,0,0,0,1
MOBL,Mountain Bluebird,Passeriformes,Sialia currucoides,0,1,0,0,0,0,0,0,0,0,0,1
MODO,Mourning Dove,Columbiformes,Zenaida macroura,0,0,0,0,0,0,0,0,0,0,0,0
MOWA,Mourning Warbler,Passeriformes,Geothlypis philadelphia,0,0,0,0,0,0,0,1,0,0,0,1
NAWA,Nashville Warbler,Passeriformes,Leiothylpis ruficapilla,0,0,0,0,0,0,0,1,0,0,0,1
NESP,Nelson's Sparrow,Passeriformes,Ammospiza nelsoni,0,0,0,0,0,1,0,0,0,0,0,1
NOCA,Northern Cardinal,Passeriformes,Cardinalis cardinalis,0,0,0,0,0,0,0,0,0,0,0,1
NOFL,Northern Flicker,Piciformes,Colaptes auratus,0,1,0,0,0,0,0,0,0,0,0,0
NOPA,Northern Parula,Passeriformes,Setophaga americana,0,0,0,0,0,0,0,1,0,0,0,1
NOWA,Northern Waterthrush,Passeriformes,Parkesia noveboracensis,0,0,0,0,0,0,0,1,0,0,0,1
OSFL,Olive-sided Flycatcher,Passeriformes,Contopus cooperi,1,0,0,0,0,0,0,1,0,1,0,1
OCWA,Orange-crowned Warbler,Passeriformes,Leiothlypis celata,0,0,0,0,0,0,0,1,0,0,0,0
OVEN,Ovenbird,Passeriformes,Seiurus aurocapilla,0,0,0,0,0,0,0,1,0,0,0,1
PAWA,Palm Warbler,Passeriformes,Setophaga palmarum,0,0,0,0,0,0,0,0,0,0,0,1
PHVI,Philadelphia Vireo,Passeriformes,Vireo philadelphicus,0,0,0,0,0,0,0,1,0,0,0,1
PIWO,Pileated Woodpecker,Piciformes,Dryocopus pileatus,0,1,0,0,0,0,0,1,0,0,0,1
PIGR,Pine Grosbeak,Passeriformes,Pinicola enucleator,0,0,0,0,0,0,0,1,0,0,0,1
PISI,Pine Siskin,Passeriformes,Spinus pinus,0,0,0,0,0,0,0,1,0,0,0,0
PIWA,Pine Warbler,Passeriformes,Setophaga pinus,0,0,0,0,0,0,0,1,0,0,0,1
PUFI,Purple Finch,Passeriformes,Haemorhous purpureus,0,0,0,0,0,0,0,1,0,0,0,1
RECR,Red Crossbill,Passeriformes,Loxia curvirostra,1,0,0,0,0,0,0,1,0,0,0,1
RBNU,Red-breasted Nuthatch,Passeriformes,Sitta canadensis,0,1,0,0,0,0,0,1,0,0,0,0
REVI,Red-eyed Vireo,Passeriformes,Vireo olivaceus,0,0,0,0,0,0,0,1,0,0,0,1
RWBL,Red-winged Blackbird,Passeriformes,Agelaius phoeniceus,0,0,0,0,0,1,0,0,0,0,0,1
ROPI,Rock Pigeon,Columbiformes,Columba livia,0,0,0,0,0,0,0,0,0,0,0,0
RBGR,Rose-breasted Grosbeak,Passeriformes,Pheucticus ludovicianus,0,0,0,0,0,0,0,1,0,0,0,1
RCKI,Ruby-crowned Kinglet,Passeriformes,Corthylio calendula,0,0,0,0,0,0,0,1,0,0,0,1
RTHU,Ruby-throated Hummingbird,Apodiformes,Archilochus colubris,0,0,0,0,0,0,0,1,0,0,0,1
RUGR,Ruffed Grouse,Galliformes,Bonasa umbellus,0,0,0,0,0,0,0,1,0,0,0,1
RUBL,Rusty Blackbird,Passeriformes,Euphagus carolinus,1,0,0,0,0,0,0,0,0,0,0,1
SAVS,Savannah Sparrow,Passeriformes,Passerculus sandwichensis,1,0,0,0,0,0,0,0,1,0,0,1
SCTA,Scarlet Tanager,Passeriformes,Piranga olivacea,0,0,0,0,0,0,0,1,0,0,0,1
SEWR,Sedge Wren,Passeriformes,Cistothorus stellaris,0,0,0,0,0,1,0,0,0,0,0,1
SOSA,Solitary Sandpiper,Charadriiformes,Tringa solitaria,0,0,0,0,1,0,0,0,0,0,0,1
SOSP,Song Sparrow,Passeriformes,Melospiza melodia,0,0,0,0,0,0,0,0,0,0,0,1
SOGR,Sooty Grouse,Galliformes,Dendragapus fuliginosus,0,0,0,0,0,0,0,1,0,0,0,1
SPSA,Spotted Sandpiper,Charadriiformes,Actitis macularius,0,0,0,0,1,1,0,0,0,0,0,1
SWTH,Swainson's Thrush,Passeriformes,Catharus ustulatus,0,0,0,0,0,0,0,1,0,0,0,1
SWSP,Swamp Sparrow,Passeriformes,Melospiza georgiana,0,0,0,0,0,1,0,0,0,0,0,1
TEWA,Tennessee Warbler,Passeriformes,Leiothlypis peregrina,0,0,0,0,0,0,0,1,0,0,0,1
TOSO,Townsend's Solitaire,Passeriformes,Myadestes townsendi,0,0,0,0,0,0,0,1,0,0,0,0
TOWA,Townsend's Warbler,Passeriformes,Setophaga townsendi,0,0,0,0,0,0,0,1,0,0,0,0
TRES,Tree Swallow,Passeriformes,Tachycineta bicolor,0,1,0,0,0,0,0,0,0,1,0,1
UPSA,Upland Sandpiper,Charadriiformes,Bartramia longicauda,0,0,0,0,1,0,0,0,1,0,0,1
VATH,Varied Thrush,Passeriformes,Ixoreus naevius,0,0,0,0,0,0,0,1,0,0,0,0
VEER,Veery,Passeriformes,Catharus fuscescens,0,0,0,0,0,0,0,1,0,0,0,1
VESP,Vesper Sparrow,Passeriformes,Pooecetes gramineus,0,0,0,0,0,0,0,0,1,0,0,1
WAVI,Warbling Vireo,Passeriformes,Vireo gilvus,0,0,0,0,0,0,0,1,0,0,0,1
WETA,Western Tanager,Passeriformes,Piranga ludoviciana,0,0,0,0,0,0,0,1,0,0,0,0
WEWP,Western Wood-Pewee,Passeriformes,Contopus sordidulus,0,0,0,0,0,0,0,1,0,1,0,1
WBNU,White-breasted Nuthatch,Passeriformes,Sitta carolinensis,0,1,0,0,0,0,0,1,0,0,0,1
WCSP,White-crowned Sparrow,Passeriformes,Zonotrichia leucophrys,0,0,0,0,0,0,0,0,0,0,0,1
WTSP,White-throated Sparrow,Passeriformes,Zonotrichia albicollis,0,0,0,0,0,0,0,1,0,0,0,1
WWCR,White-winged Crossbill,Passeriformes,Loxia leucoptera,0,0,0,0,0,0,0,1,0,0,0,1
WIPT,Willow Ptarmigan,Galliformes,Lagopus lagopus,0,0,0,0,0,0,0,0,0,0,1,0
WISN,Wilson's Snipe,Charadriiformes,Gallinago delicata,0,0,0,0,1,1,0,0,0,0,0,1
WIWA,Wilson's Warbler,Passeriformes,Cardellina pusilla,0,0,0,0,0,0,0,0,0,0,0,0
WIWR,Winter Wren,Passeriformes,Troglodytes hiemalis,0,1,0,0,0,0,0,1,0,0,0,1
WOTH,Wood Thrush,Passeriformes,Hylocichla mustelina,1,0,0,0,0,0,0,1,0,0,0,1
YEWA,Yellow Warbler,Passeriformes,Setophaga petechia,0,0,0,0,0,1,0,0,0,0,0,1
YBFL,Yellow-bellied Flycatcher,Passeriformes,Empidonax flaviventris,0,0,0,0,0,0,0,1,0,1,0,1
YBSA,Yellow-bellied Sapsucker,Piciformes,Sphyrapicus varius,0,1,0,0,0,0,0,1,0,0,0,1
YHBL,Yellow-headed Blackbird,Passeriformes,Xanthocephalus xanthocephalus,0,0,0,0,0,1,0,0,0,0,0,1
YRWA,Yellow-rumped Warbler,Passeriformes,Setophaga coronata,0,0,0,0,0,0,0,1,0,0,0,1
YTVI,Yellow-throated Vireo,Passeriformes,Vireo flavifrons,0,0,0,0,0,0,0,1,0,0,0,1
